Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year,INT,INT TD,INT Yds,Lng
Buccaneers,0,0,0,0,0,1989,21,2,234,68T
Seahawks,0,0,0,0,0,1989,9,0,57,20
49ers,0,0,0,0,0,1989,21,0,262,42
Chargers,0,0,0,0,0,1989,25,0,224,34
Steelers,0,0,0,0,0,1989,21,0,261,39
Cardinals,0,0,0,0,0,1989,16,2,275,53T
Eagles,0,0,0,0,0,1989,30,2,375,60T
Jets,0,0,0,0,0,1989,15,2,261,92T
Giants,0,0,0,0,0,1989,22,2,330,58T
Saints,0,0,0,0,0,1989,21,2,226,63T
Patriots,0,0,0,0,0,1989,16,1,118,28
Vikings,0,0,0,0,0,1989,18,2,264,90T
Dolphins,0,0,0,0,0,1989,15,0,126,28
Raiders,0,0,0,0,0,1989,18,3,362,87T
Rams,0,0,0,0,0,1989,21,3,372,81T
Chiefs,0,0,0,0,0,1989,15,0,133,27
Colts,0,0,0,0,0,1989,21,2,391,80T
Oilers,0,0,0,0,0,1989,21,0,263,48
Packers,0,0,0,0,0,1989,25,0,232,53
Lions,0,0,0,0,0,1989,16,1,107,36
Broncos,0,0,0,0,0,1989,21,2,318,50
Cowboys,0,0,0,0,0,1989,7,0,37,18
Browns,0,0,0,0,0,1989,27,4,300,36T
Bengals,0,0,0,0,0,1989,21,1,204,28
Bears,0,0,0,0,0,1989,26,1,268,43
Bills,0,0,0,0,0,1989,23,1,269,43
Falcons,0,0,0,0,0,1989,20,0,285,40
Redskins,0,0,0,0,0,1990,21,2,271,61
Buccaneers,0,0,0,0,0,1990,25,3,487,65T
Seahawks,0,0,0,0,0,1990,12,0,182,47
49ers,0,0,0,0,0,1990,17,0,171,28
Chargers,0,0,0,0,0,1990,19,0,188,67
Steelers,0,0,0,0,0,1990,24,1,385,59
Cardinals,0,0,0,0,0,1990,16,2,274,47T
Eagles,0,0,0,0,0,1990,19,3,271,42
Jets,0,0,0,0,0,1990,18,0,205,39
Giants,0,0,0,0,0,1990,23,2,116,40
Saints,0,0,0,0,0,1990,8,1,158,50T
Patriots,0,0,0,0,0,1990,14,0,194,73
Vikings,0,0,0,0,0,1990,22,2,358,73
Dolphins,0,0,0,0,0,1990,19,2,288,42T
Raiders,0,0,0,0,0,1990,13,1,102,31
Rams,0,0,0,0,0,1990,12,1,105,44T
Chiefs,0,0,0,0,0,1990,20,1,250,40
Colts,0,0,0,0,0,1990,9,1,173,40
Oilers,0,0,0,0,0,1990,21,1,295,47
Packers,0,0,0,0,0,1990,16,1,154,32
Lions,0,0,0,0,0,1990,17,1,273,48
Broncos,0,0,0,0,0,1990,10,1,190,49T
Cowboys,0,0,0,0,0,1990,11,1,126,64T
Browns,0,0,0,0,0,1990,13,1,212,64T
Bengals,0,0,0,0,0,1990,15,1,146,29
Bears,0,0,0,0,0,1990,31,1,268,45T
Bills,0,0,0,0,0,1990,18,2,151,60T
Falcons,0,0,0,0,0,1990,17,3,237,82T
Redskins,0,13,0,0,0,1991,27,3,279,54T
Buccaneers,0,16,0,0,0,1991,11,0,63,18
Seahawks,0,21,0,0,0,1991,18,2,302,43
49ers,0,16,1,0,0,1991,12,0,125,42
Chargers,0,9,0,0,0,1991,19,1,227,71T
Steelers,0,11,1,0,0,1991,19,2,329,57T
Cardinals,0,21,2,0,0,1991,17,1,187,35T
Eagles,0,22,3,0,0,1991,26,1,280,74T
Jets,0,19,0,0,0,1991,18,2,283,83T
Giants,0,9,0,0,0,1991,12,0,122,41
Saints,0,19,0,0,0,1991,29,2,482,79
Patriots,0,19,0,0,0,1991,12,0,93,33
Vikings,0,11,0,0,0,1991,17,2,242,97T
Dolphins,0,9,1,0,0,1991,12,0,135,37
Raiders,0,13,1,0,0,1991,18,0,155,31
Rams,0,8,1,0,0,1991,11,1,175,59T
Chiefs,0,18,2,0,0,1991,15,0,216,83
Colts,0,13,0,0,0,1991,15,0,202,37
Oilers,0,18,3,0,0,1991,20,2,255,52T
Packers,0,14,1,0,0,1991,15,0,234,37
Lions,0,17,1,0,0,1991,19,2,286,96T
Broncos,0,10,1,0,0,1991,23,2,379,53
Cowboys,0,11,1,0,0,1991,12,2,167,65T
Browns,0,18,1,0,0,1991,15,3,260,42T
Bengals,0,14,0,0,0,1991,17,1,169,47
Bears,0,13,0,0,0,1991,17,1,225,39
Bills,0,14,1,0,0,1991,23,1,276,58
Falcons,0,16,4,0,0,1991,19,1,225,55T
Redskins,0,11,1,4,11,1992,23,2,485,65
Buccaneers,0,13,3,2,10,1992,20,1,234,75
Seahawks,0,11,1,6,8,1992,20,0,324,69
49ers,0,12,1,9,4,1992,17,1,172,56T
Chargers,0,11,0,5,5,1992,25,1,405,69
Steelers,0,21,1,8,14,1992,22,1,384,65T
Cardinals,0,12,0,3,11,1992,16,3,298,46T
Eagles,0,13,1,7,4,1992,24,2,307,49
Jets,0,18,0,7,13,1992,21,3,269,77T
Giants,0,12,0,4,9,1992,14,1,192,69T
Saints,0,20,3,8,12,1992,18,3,254,71T
Patriots,0,15,2,3,12,1992,14,3,285,82T
Vikings,0,14,2,3,10,1992,28,6,502,84T
Dolphins,0,14,0,2,11,1992,18,3,458,103T
Raiders,0,7,0,1,9,1992,12,1,339,102T
Rams,0,15,0,1,16,1992,18,1,283,40
Chiefs,0,15,2,2,9,1992,24,6,403,99T
Colts,0,15,0,4,16,1992,20,1,302,90T
Oilers,0,11,3,7,5,1992,20,1,181,27
Packers,0,19,1,5,15,1992,15,1,222,43
Lions,0,11,1,4,11,1992,21,0,255,35
Broncos,0,16,1,7,12,1992,15,1,210,46T
Cowboys,0,14,1,6,9,1992,17,1,158,30
Browns,0,20,3,5,20,1992,13,1,222,92T
Bengals,0,17,2,6,16,1992,16,1,205,66T
Bears,0,16,1,2,16,1992,14,0,188,46
Bills,0,12,1,3,13,1992,23,2,325,82T
Falcons,0,12,1,4,8,1992,11,0,135,55
Redskins,0,14,2,4,8,1993,17,2,241,69T
Buccaneers,0,13,0,5,8,1993,9,2,71,28
Seahawks,0,15,2,4,9,1993,22,1,196,34
49ers,0,11,1,4,5,1993,19,3,267,67T
Chargers,0,12,0,4,6,1993,22,1,319,102T
Steelers,0,14,2,5,14,1993,24,1,386,78
Cardinals,0,17,2,6,12,1993,9,1,124,46T
Eagles,0,15,1,5,11,1993,20,4,324,94T
Jets,0,18,0,8,13,1993,19,1,233,62T
Giants,0,10,0,6,12,1993,18,1,184,50T
Saints,0,20,2,6,8,1993,10,0,133,37
Patriots,0,9,0,4,7,1993,13,0,122,40
Vikings,0,10,0,4,10,1993,24,2,211,63T
Dolphins,0,14,0,6,14,1993,13,1,175,56T
Raiders,0,9,0,3,12,1993,14,1,199,36T
Rams,0,9,1,4,8,1993,11,0,127,41
Chiefs,0,17,2,6,10,1993,21,0,225,48
Colts,0,11,2,2,12,1993,10,0,116,29
Oilers,0,17,3,10,9,1993,26,3,412,69
Packers,0,15,1,5,9,1993,18,0,255,39
Lions,0,16,2,5,10,1993,19,1,156,35T
Broncos,0,13,0,2,17,1993,18,1,236,68
Cowboys,0,14,0,6,8,1993,14,1,171,32T
Browns,0,9,1,5,13,1993,13,1,208,97T
Bengals,0,14,0,4,8,1993,12,2,272,97T
Bears,0,12,2,2,11,1993,18,2,300,86T
Bills,0,24,1,9,13,1993,23,3,306,85T
Falcons,0,11,1,5,8,1993,13,0,160,44
Redskins,0,6,2,1,10,1994,17,3,326,92T
Buccaneers,0,12,0,2,9,1994,9,0,77,38
Seahawks,0,11,0,4,8,1994,19,2,284,69T
49ers,0,12,1,3,6,1994,23,4,508,93T
Chargers,0,15,0,1,16,1994,17,3,402,99T
Steelers,0,14,1,5,7,1994,17,2,240,42
Cardinals,0,13,0,4,9,1994,23,1,297,46T
Eagles,0,14,0,0,14,1994,21,2,209,55T
Jets,0,21,0,6,12,1994,17,3,355,90T
Giants,0,16,0,3,11,1994,16,0,128,36
Saints,0,14,2,5,10,1994,17,1,197,56
Patriots,0,18,1,5,10,1994,22,1,209,24
Vikings,0,16,2,0,7,1994,18,4,338,81T
Dolphins,0,9,0,2,8,1994,23,1,276,76T
Raiders,0,13,2,4,12,1994,12,3,187,35
Rams,0,6,2,1,8,1994,14,1,211,51
Chiefs,0,26,0,5,16,1994,12,1,218,78T
Colts,0,10,2,3,5,1994,18,3,360,90T
Oilers,0,12,0,1,6,1994,14,1,242,41
Packers,0,12,0,5,12,1994,21,1,232,51
Lions,0,11,1,8,14,1994,12,2,144,48T
Broncos,0,14,0,3,12,1994,12,0,55,24
Cowboys,0,9,0,1,9,1994,22,3,297,94T
Browns,0,13,0,3,13,1994,18,1,223,93T
Bengals,0,8,0,4,14,1994,10,0,167,49
Bears,0,10,0,7,8,1994,12,0,127,33
Bills,0,12,1,2,7,1994,16,0,175,45
Falcons,0,11,1,2,8,1994,22,2,322,74
Redskins,0,18,1,8,10,1995,16,2,250,51T
Buccaneers,0,16,1,5,13,1995,14,1,137,40
Seahawks,0,9,2,5,6,1995,16,0,127,32
49ers,0,8,2,5,9,1995,26,5,425,86T
Chargers,0,10,2,4,9,1995,17,1,220,99T
Steelers,0,12,2,3,10,1995,22,3,361,63T
Cardinals,0,23,0,5,19,1995,19,4,259,72T
Eagles,0,19,4,1,15,1995,19,1,239,37T
Jets,0,17,1,2,16,1995,17,3,261,49T
Giants,0,15,1,3,12,1995,16,2,269,75T
Saints,0,12,0,2,12,1995,17,1,195,47T
Patriots,0,14,1,5,8,1995,15,0,143,45
Vikings,0,15,2,3,14,1995,25,2,326,60T
Dolphins,0,16,1,4,11,1995,14,1,161,69T
Raiders,0,22,3,7,16,1995,11,2,110,42T
Rams,0,14,3,3,12,1995,22,2,245,31
Chiefs,0,17,2,4,14,1995,16,2,303,74T
Jaguars,0,11,0,5,8,1995,13,1,155,48T
Colts,0,13,1,7,11,1995,13,1,248,97T
Oilers,0,17,0,8,9,1995,21,4,317,98T
Packers,0,3,1,0,5,1995,13,0,253,76
Lions,0,13,1,2,8,1995,22,0,270,39
Broncos,0,13,1,3,5,1995,8,0,114,36
Cowboys,0,6,0,1,6,1995,19,4,261,65T
Browns,0,7,0,3,7,1995,17,2,230,36
Bengals,0,12,0,4,11,1995,12,1,175,61
Bears,0,13,0,5,4,1995,16,1,146,37
Panthers,0,15,1,9,9,1995,21,2,319,96T
Bills,0,11,0,4,7,1995,17,2,233,69T
Falcons,0,12,0,3,10,1995,18,2,304,71T
Redskins,0,9,1,7,11,1996,21,1,214,68T
Buccaneers,0,12,0,5,15,1996,17,0,139,26
Seahawks,0,18,0,3,13,1996,14,1,256,79T
49ers,0,14,1,2,6,1996,20,1,176,55T
Chargers,0,14,0,1,10,1996,22,1,336,83T
Steelers,0,17,2,4,4,1996,23,3,334,47T
Cardinals,0,14,1,1,18,1996,11,1,122,65T
Eagles,0,12,3,4,8,1996,19,1,303,104T
Jets,0,15,1,2,11,1996,11,2,165,100T
Giants,0,13,1,7,6,1996,22,3,341,35
Saints,0,10,1,3,10,1996,12,0,114,33
Patriots,0,11,2,4,5,1996,23,2,255,46T
Vikings,0,13,0,3,12,1996,22,1,206,41
Dolphins,0,16,0,7,10,1996,20,3,475,91T
Raiders,0,9,1,2,9,1996,17,2,353,66T
Rams,0,13,0,2,12,1996,26,4,390,92T
Chiefs,0,10,1,4,9,1996,17,0,171,34
Jaguars,0,14,0,3,8,1996,13,0,114,27
Colts,0,10,0,7,5,1996,13,4,276,68T
Oilers,0,14,0,4,12,1996,12,1,162,53
Packers,0,12,0,3,9,1996,26,3,524,90T
Lions,0,8,1,4,12,1996,11,2,169,98T
Broncos,0,9,0,6,11,1996,23,1,241,69T
Cowboys,0,13,1,3,9,1996,19,0,168,24
Bengals,0,10,1,3,6,1996,34,2,308,42T
Bears,0,11,2,6,10,1996,17,1,107,29
Panthers,0,16,3,4,10,1996,22,0,277,42
Bills,0,14,1,2,8,1996,14,0,113,31
Ravens,0,7,0,0,10,1996,15,1,147,45T
Falcons,0,17,0,4,11,1996,6,0,41,21
Redskins,0,14,1,4,16,1997,16,3,222,83T
Buccaneers,0,13,0,4,5,1997,13,0,95,28
Seahawks,0,16,3,5,13,1997,13,1,196,44T
49ers,0,16,2,1,10,1997,25,1,366,55T
Chargers,0,11,2,1,10,1997,15,3,257,75T
Steelers,0,13,1,6,4,1997,20,0,253,42
Cardinals,0,5,0,3,6,1997,15,3,231,66T
Eagles,0,12,1,2,9,1997,14,1,186,64T
Jets,0,7,0,2,12,1997,18,4,379,51T
Giants,0,17,0,2,12,1997,27,4,503,95T
Saints,0,15,1,7,12,1997,16,0,194,39
Patriots,0,13,0,5,8,1997,19,4,366,100T
Vikings,0,15,2,6,12,1997,12,0,141,27
Dolphins,0,17,2,6,15,1997,10,0,92,23
Raiders,0,12,2,6,12,1997,10,1,149,44T
Rams,0,14,1,1,12,1997,25,1,281,75T
Chiefs,0,13,1,2,10,1997,21,4,432,87T
Jaguars,0,15,1,7,8,1997,14,0,145,32
Colts,0,13,2,2,7,1997,12,2,234,52T
Oilers,0,17,2,12,9,1997,14,2,328,48
Packers,0,11,3,4,11,1997,21,3,329,77T
Lions,0,8,2,2,8,1997,17,3,309,66
Broncos,0,13,2,3,7,1997,18,5,319,62T
Cowboys,0,12,2,3,9,1997,7,1,130,50T
Bengals,0,10,1,1,13,1997,13,0,183,37
Bears,0,17,0,4,10,1997,13,0,60,14
Panthers,0,11,0,4,10,1997,11,0,72,18
Bills,0,7,0,4,8,1997,15,0,157,28
Ravens,0,11,0,3,6,1997,17,1,241,43
Falcons,0,10,0,2,10,1997,18,0,114,31
Redskins,0,7,0,3,4,1998,13,0,190,54
Buccaneers,0,14,0,5,5,1998,12,1,212,56
Seahawks,0,18,2,6,10,1998,24,8,455,56T
49ers,0,12,0,3,9,1998,21,0,178,37
Chargers,0,7,0,2,8,1998,20,1,203,30
Steelers,0,13,0,5,9,1998,16,3,335,78T
Cardinals,0,19,0,4,10,1998,20,1,235,70T
Eagles,0,8,0,1,9,1998,9,0,158,33
Jets,0,9,2,4,13,1998,21,1,263,87
Giants,0,7,0,3,3,1998,19,3,217,43T
Saints,0,11,4,3,10,1998,21,5,466,91T
Patriots,0,7,0,2,3,1998,24,3,255,59T
Vikings,0,15,2,5,7,1998,19,3,341,79T
Dolphins,0,7,0,1,8,1998,29,4,318,61
Raiders,0,14,1,7,6,1998,21,3,420,94T
Rams,0,7,0,1,6,1998,16,1,201,41
Chiefs,0,20,1,3,15,1998,13,0,187,28
Jaguars,0,17,2,8,9,1998,13,0,119,34
Colts,0,11,0,3,16,1998,8,0,97,30
Oilers,0,7,2,3,3,1998,12,2,98,33
Packers,0,10,2,1,4,1998,13,1,111,33T
Lions,0,9,0,6,4,1998,12,1,132,34T
Broncos,0,11,0,5,8,1998,19,2,439,80T
Cowboys,0,12,1,5,10,1998,14,1,250,71T
Bengals,0,7,1,2,5,1998,13,1,144,58T
Bears,0,14,1,6,16,1998,14,1,129,28
Panthers,0,14,0,3,10,1998,19,2,295,56T
Bills,0,13,1,4,6,1998,18,1,204,43
Ravens,0,5,0,2,8,1998,17,2,161,60T
Falcons,0,25,4,5,17,1998,19,2,224,36
Redskins,0,13,1,3,9,1999,24,3,375,88T
Buccaneers,0,9,0,4,6,1999,21,2,355,55T
Seahawks,0,6,0,3,4,1999,30,2,336,42
49ers,0,7,3,3,8,1999,13,2,209,64T
Chargers,0,12,2,2,12,1999,15,0,123,68
Steelers,0,14,2,3,10,1999,14,0,149,25
Cardinals,0,10,0,6,9,1999,17,3,276,78T
Eagles,0,18,0,8,17,1999,28,5,625,84
Jets,0,11,1,5,8,1999,24,3,443,98T
Giants,0,7,1,2,9,1999,17,2,232,44T
Saints,0,15,2,3,6,1999,19,0,138,27
Patriots,0,15,2,5,15,1999,16,2,110,57T
Vikings,0,18,0,4,9,1999,12,1,66,27T
Dolphins,0,10,1,2,5,1999,18,1,243,42
Raiders,0,13,1,4,12,1999,20,1,247,36
Rams,0,7,1,2,8,1999,29,7,567,91T
Chiefs,0,20,4,3,16,1999,25,5,378,56T
Jaguars,0,11,1,4,13,1999,19,3,330,93T
Colts,0,13,1,1,8,1999,10,1,287,74T
Titans,0,24,2,6,17,1999,16,1,257,43
Packers,0,15,2,4,13,1999,26,1,137,60
Lions,0,16,3,6,9,1999,16,1,235,41T
Broncos,0,11,1,4,9,1999,15,1,169,45
Cowboys,0,9,1,3,9,1999,24,4,442,95T
Browns,0,12,0,5,12,1999,8,0,52,14
Bengals,0,15,0,3,12,1999,12,1,100,58T
Bears,0,19,1,5,8,1999,14,1,229,41
Panthers,0,14,0,4,6,1999,15,0,169,44
Bills,0,9,1,1,5,1999,12,0,180,52
Ravens,0,10,0,3,6,1999,21,4,403,66T
Redskins,0,16,0,7,7,2000,17,0,219,48
Buccaneers,0,16,1,7,10,2000,25,4,275,37T
Seahawks,0,10,2,3,10,2000,17,3,300,84T
49ers,0,8,0,4,7,2000,13,2,278,70T
Chargers,0,6,0,1,6,2000,16,4,313,75T
Steelers,0,17,2,2,10,2000,17,0,154,33
Cardinals,0,10,1,5,7,2000,10,0,151,48
Eagles,0,12,0,5,10,2000,19,2,255,38
Jets,0,14,0,3,10,2000,21,1,229,43
Giants,0,11,0,3,5,2000,20,0,149,40
Saints,0,15,1,3,5,2000,20,4,264,46
Patriots,0,13,0,1,12,2000,10,0,161,56
Vikings,0,10,0,9,3,2000,8,0,65,25
Dolphins,0,13,2,4,8,2000,28,0,311,43
Raiders,0,16,1,7,17,2000,21,4,323,50T
Rams,0,6,1,3,3,2000,19,0,135,23
Chiefs,0,14,0,3,14,2000,15,2,198,42T
Jaguars,0,18,0,5,10,2000,12,0,145,39
Colts,0,8,1,3,6,2000,14,2,125,40T
Titans,0,13,1,5,12,2000,17,4,285,87T
Packers,0,7,0,1,6,2000,21,1,315,47
Lions,0,16,0,5,15,2000,25,2,340,101T
Broncos,0,17,2,6,12,2000,27,5,343,79T
Cowboys,0,9,0,5,9,2000,16,0,167,46
Browns,0,13,0,3,9,2000,12,1,68,33T
Bengals,0,12,0,3,12,2000,9,1,107,36T
Bears,0,9,0,6,4,2000,11,4,254,61T
Panthers,0,20,0,10,13,2000,17,2,199,88T
Bills,0,13,0,3,8,2000,16,1,131,45T
Ravens,0,26,0,7,22,2000,23,1,477,98T
Redskins,31,11,0,8,12,2001,23,1,209,67T
Buccaneers,22,11,0,0,13,2001,28,2,419,98T
Seahawks,28,13,1,4,8,2001,14,2,186,55T
49ers,24,10,1,2,9,2001,24,2,330,97T
Chargers,33,12,2,1,21,2001,19,1,162,37T
Steelers,27,12,3,1,12,2001,16,2,270,62
Cardinals,25,6,2,2,12,2001,17,3,294,61T
Eagles,38,19,2,4,17,2001,14,2,152,50T
Jets,27,19,2,7,14,2001,20,2,390,63T
Giants,28,13,1,2,12,2001,15,1,129,34T
Saints,28,15,1,6,6,2001,15,0,209,40
Patriots,23,13,0,5,8,2001,22,5,422,78T
Vikings,20,9,1,2,11,2001,8,1,47,27T
Dolphins,26,11,1,2,8,2001,17,5,412,100T
Raiders,18,7,1,3,8,2001,17,2,306,41
Rams,20,13,1,4,9,2001,21,4,369,93T
Chiefs,23,13,0,4,7,2001,13,1,166,51T
Jaguars,28,12,2,4,9,2001,12,0,83,39
Colts,16,10,1,1,6,2001,15,1,158,30T
Titans,19,11,1,4,7,2001,13,0,78,36
Packers,36,19,1,6,10,2001,20,2,344,69T
Lions,19,6,1,2,9,2001,16,3,217,74T
Broncos,26,15,0,2,9,2001,22,1,240,42
Cowboys,28,16,0,2,13,2001,9,3,191,71T
Browns,33,8,1,6,12,2001,33,4,499,97T
Bengals,33,15,1,5,15,2001,13,1,192,66T
Bears,31,17,2,6,7,2001,20,3,372,67
Panthers,27,11,1,5,14,2001,24,1,374,49
Bills,25,8,0,6,8,2001,11,3,139,48T
Ravens,22,12,1,6,8,2001,16,1,195,64
Redskins,26,12,1,8,8,2002,14,1,173,78T
Buccaneers,21,7,1,4,1,2002,31,4,494,97T
Seahawks,22,11,1,2,10,2002,19,1,245,46T
49ers,23,8,0,5,9,2002,19,1,332,60
Chargers,16,10,3,8,5,2002,17,1,246,46
Steelers,21,17,0,3,7,2002,19,1,351,84
Cardinals,15,8,0,5,5,2002,17,2,186,38T
Eagles,45,22,1,6,20,2002,15,2,193,80T
Jets,16,8,0,2,6,2002,15,0,207,65
Giants,21,14,1,3,7,2002,11,1,93,32
Saints,29,18,2,2,13,2002,20,1,211,43
Patriots,21,11,1,6,6,2002,18,3,277,90T
Vikings,16,7,0,1,11,2002,16,1,191,43T
Dolphins,21,9,1,1,4,2002,21,1,258,62
Raiders,19,10,0,4,9,2002,21,3,347,98T
Rams,31,14,1,11,6,2002,12,0,74,36
Chiefs,19,13,1,4,7,2002,18,0,302,50
Jaguars,20,13,0,6,9,2002,14,0,193,53
Colts,36,17,0,4,9,2002,10,1,170,53
Texans,22,11,1,5,5,2002,10,2,188,70T
Titans,22,11,1,6,4,2002,18,3,198,32T
Packers,38,21,0,5,11,2002,24,4,516,89T
Lions,25,14,2,5,10,2002,10,1,173,49
Broncos,23,13,1,2,6,2002,9,2,107,31
Cowboys,23,10,0,4,10,2002,19,3,227,85T
Browns,32,12,0,6,7,2002,17,0,148,71
Bengals,20,11,1,3,10,2002,9,2,187,102T
Bears,34,19,1,5,16,2002,9,0,111,35
Panthers,36,16,1,3,10,2002,17,1,261,62
Bills,20,9,1,1,11,2002,10,1,147,42
Redskins,26,13,0,4,12,2003,17,0,184,44
Buccaneers,28,13,1,5,10,2003,20,3,229,44T
Seahawks,25,12,2,3,14,2003,16,0,157,33
49ers,23,13,0,3,4,2003,23,1,389,68T
Chargers,22,7,0,1,7,2003,13,1,157,41
Steelers,23,11,0,0,11,2003,14,2,215,42
Cardinals,21,10,0,3,11,2003,13,1,271,70T
Eagles,24,13,0,6,7,2003,13,1,158,34
Jets,15,9,0,0,6,2003,11,0,155,39
Giants,29,12,2,4,7,2003,10,2,199,56T
Saints,29,13,0,6,9,2003,14,2,226,73T
Patriots,29,12,1,4,6,2003,29,5,358,65T
Vikings,28,7,0,3,13,2003,28,4,693,80T
Dolphins,25,14,1,5,7,2003,22,2,338,74T
Raiders,22,11,0,3,11,2003,14,2,280,83T
Rams,31,22,2,5,9,2003,24,3,505,74T
Chiefs,21,12,0,3,8,2003,25,3,310,79T
Jaguars,25,12,1,6,10,2003,15,0,78,21
Colts,30,15,1,3,10,2003,15,2,244,75T
Texans,18,8,0,1,12,2003,14,1,205,95T
Titans,20,13,2,2,5,2003,21,3,312,60T
Packers,20,11,1,4,9,2003,21,2,315,90T
Lions,31,13,3,5,12,2003,15,1,130,48T
Broncos,25,11,0,2,14,2003,9,1,39,16
Cowboys,24,12,0,2,7,2003,13,2,183,41T
Browns,24,7,0,2,4,2003,15,1,168,75T
Bengals,26,10,1,5,12,2003,14,0,123,31
Bears,19,5,0,1,7,2003,15,1,191,45T
Panthers,18,10,0,2,8,2003,16,3,238,53
Bills,22,8,1,4,6,2003,10,2,114,54T
Redskins,17,8,0,4,5,2004,18,1,405,78T
Buccaneers,20,11,2,3,8,2004,16,1,239,75
Seahawks,25,12,0,4,6,2004,23,3,337,63T
49ers,24,12,2,3,9,2004,9,0,129,31
Chargers,19,10,0,4,6,2004,23,1,180,40
Steelers,28,13,2,3,6,2004,19,3,293,41
Cardinals,30,15,1,4,14,2004,15,1,214,65
Eagles,29,11,0,7,7,2004,17,2,287,101T
Jets,28,14,1,7,8,2004,19,2,243,66T
Giants,26,14,2,3,11,2004,14,0,113,39
Saints,30,20,1,6,9,2004,13,0,101,55
Patriots,31,16,3,5,11,2004,20,1,290,36
Vikings,25,11,1,5,9,2004,11,1,207,56
Dolphins,22,10,1,2,14,2004,15,0,92,47
Raiders,14,9,0,2,6,2004,9,1,221,45
Rams,17,9,3,1,7,2004,6,0,45,30
Chiefs,23,7,1,7,9,2004,13,1,173,65
Jaguars,30,11,0,6,8,2004,16,0,126,37
Colts,33,17,1,6,10,2004,19,2,252,77T
Texans,22,8,3,3,10,2004,22,2,393,102T
Titans,20,12,1,3,6,2004,18,1,285,44
Packers,16,7,3,3,5,2004,8,2,165,43T
Lions,20,10,0,3,6,2004,14,1,216,55T
Broncos,24,8,0,4,9,2004,12,2,175,76
Cowboys,19,9,0,4,5,2004,13,0,109,33
Browns,20,13,0,2,7,2004,15,1,250,51
Bengals,39,16,1,6,10,2004,20,4,272,51T
Bears,21,12,1,3,9,2004,17,5,546,71T
Panthers,29,12,1,7,10,2004,26,2,420,97
Bills,31,15,0,6,9,2004,24,4,333,62T
Redskins,32,12,1,3,15,2005,16,1,176,41
Buccaneers,25,13,3,2,6,2005,17,0,223,42
Seahawks,25,11,1,2,9,2005,16,2,315,72T
49ers,18,10,1,1,5,2005,16,3,220,61T
Chargers,23,10,0,3,10,2005,10,2,205,70T
